股票代號,股票名稱,成交金額(元),成交金額_分類
1295,生合,3713.6000000000004,中間
5014,建錩,3720.6,中間
3570,大塚,3751.0,中間
2433,互盛電,3786.75,中間
2450,神腦,3792.45,中間
3021,鴻名,3794.4,中間
4173,久裕,3823.7500000000005,中間
1733,五鼎,3835.0,中間
1735,日勝化,3840.8999999999996,中間
7757,金色三麥,3842.0,中間
9918,欣天然,3875.8999999999996,中間
6441,廣錠,3892.5,中間
6792,詠業,3912.1,中間
1598,岱宇,3917.65,中間
4728,雙美,3925.0,中間
3557,嘉威,3953.7999999999997,中間
1788,杏昌,3958.5,中間
3313,斐成,4002.0,中間
6674,鋐寶科技,4038.7999999999997,中間
3287,廣寰科,4050.3,中間
8442,威宏-KY,4089.0,中間
3332,幸康,4095.3,中間
8410,森田,4100.25,中間
9103,美德醫療-DR,4114.78,中間
4111,濟生,4116.85,中間
2816,旺旺保,4130.0,中間
1219,福壽,4131.0,中間
8463,潤泰材,4131.0,中間
2483,百容,4138.2,中間
5353,台林,4144.95,中間
3441,聯一光,4177.599999999999,中間
8411,福貞-KY,4188.0,中間
3522,御嵿,4199.0,中間
7721,微程式,4206.45,中間
1777,生泰,4210.799999999999,中間
8032,光菱,4256.85,中間
3713,新晶投控,4272.8,中間
5321,美而快,4288.0,中間
9946,三發地產,4290.05,中間
2028,威致,4313.0,中間
4131,浩泰,4320.0,中間
1446,宏和,4337.1,中間
4160,訊聯基因,4344.0,中間
6141,柏承,4348.95,中間
6654,天正國際,4365.0,中間
4163,鐿鈦,4375.7,中間
5312,寶島科,4391.2,中間
1416,廣豐,4418.0,中間
6160,欣技,4428.599999999999,中間
3499,環天科,4440.700000000001,中間
1108,幸福,4454.1,中間
7547,碩網,4454.8,中間
4161,聿新科,4458.9,中間
4420,光明,4458.900000000001,中間
4401,東隆興,4476.15,中間
4106,雃博,4496.900000000001,中間
6791,虎門科技,4510.0,中間
3259,鑫創,4515.0,中間
2239,英利-KY,4566.849999999999,中間
4133,亞諾法,4598.0,中間
3284,太普高,4611.25,中間
2064,晉椿,4615.150000000001,中間
3388,崇越電,4632.400000000001,中間
2536,宏普,4636.599999999999,中間
5460,同協,4645.5,中間
8277,商丞,4670.389999999999,中間
8489,三貝德,4678.2,中間
9943,好樂迪,4695.6,中間
4166,友霖,4706.7,中間
8916,光隆,4707.25,中間
2756,聯發國際,4721.200000000001,中間
5907,大洋-KY,4721.64,中間
5230,雷笛克光學,4737.15,中間
1451,年興,4774.7,中間
1447,力鵬,4791.2,中間
9906,欣巴巴,4797.5,中間
1234,黑松,4798.8,中間
6136,富爾特,4825.75,中間
6281,全國電,4867.2,中間
9908,大台北,4895.400000000001,中間
6951,青新-創,4901.0,中間
2509,全坤建,4908.6,中間
1799,易威,4927.400000000001,中間
5398,慕康生醫,4941.599999999999,中間
5531,鄉林,4950.0,中間
6612,奈米醫材,4973.7,中間
1570,力肯,5004.9,中間
4707,磐亞,5014.1,中間
1268,漢來美食,5037.5,中間
3310,佳穎,5068.8,中間
6560,欣普羅,5075.0,中間
6703,軒郁,5076.0,中間
1437,勤益控,5101.200000000001,中間
3508,位速,5103.900000000001,中間
1103,嘉泥,5132.4,中間
4171,瑞基,5207.400000000001,中間
3114,好德,5211.0,中間
8403,盛弘,5227.2,中間
6128,上福,5242.5,中間
1438,三地開發,5269.3,中間
8908,欣雄,5270.55,中間
6534,正瀚-創,5286.0,中間
2227,裕日車,5315.599999999999,中間
3188,鑫龍騰,5341.7,中間
5251,天鉞電,5386.25,中間
6118,建達,5387.65,中間
8416,實威,5430.0,中間
4503,金雨,5445.0,中間
6733,博晟生醫,5450.400000000001,中間
6843,進典,5508.0,中間
1595,川寶,5514.799999999999,中間
6794,向榮生技,5529.6,中間
3679,新至陞,5561.5,中間
2373,震旦行,5575.200000000001,中間
3130,一零四,5587.5,中間
1315,達新,5628.900000000001,中間
6965,中傑-KY,5661.5,中間
6124,業強,5702.4,中間
6743,安普新,5705.7,中間
5244,弘凱,5709.599999999999,中間
1110,東泥,5726.3,中間
6651,全宇昕,5754.0,中間
4994,傳奇,5775.0,中間
3276,宇環,5783.400000000001,中間
4552,力達-KY,5806.5,中間
6221,晉泰,5836.75,中間
8935,邦泰,5846.3,中間
6277,宏正,5846.4,中間
2482,連宇,5848.65,中間
1264,德麥,5880.0,中間
6751,智聯服務,5880.599999999999,中間
6184,大豐電,5917.0,中間
4528,江興鍛,5929.7,中間
3229,晟鈦,6026.8,中間
6752,叡揚,6076.0,中間
1752,南光,6078.8,中間
6140,訊達,6084.0,中間
2243,宏旭-KY,6096.0,中間
1725,元禎,6109.8,中間
4414,如興,6141.099999999999,中間
4942,嘉彰,6154.1,中間
2314,台揚,6210.0,中間
5481,新華,6267.7,中間
1614,三洋電,6271.5,中間
3043,科風,6319.349999999999,中間
4744,皇將,6328.200000000001,中間
4946,辣椒,6330.0,中間
6498,久禾光,6386.400000000001,中間
6573,虹揚-KY,6400.95,中間
6728,上洋,6435.0,中間
7704,明遠精密,6465.3,中間
6790,永豐實,6485.5,中間
8433,弘帆,6515.700000000001,中間
3325,旭品,6523.650000000001,中間
4113,聯上,6529.650000000001,中間
6859,伯特光,6540.0,中間
6877,鏵友益,6545.0,中間
1604,聲寶,6552.0,中間
4716,大立,6552.700000000001,中間
2414,精技,6560.0,中間
1530,亞崴,6712.3,中間
6649,台生材,6777.0,中間
3577,泓格,6815.900000000001,中間
6158,禾昌,6848.4,中間
6229,研通,6854.4,中間
2739,寒舍,6855.55,中間
5202,力新,6864.0,中間
2013,中鋼構,6919.35,中間
1414,東和,6952.0,中間
2516,新建,7032.0,中間
7718,友鋮,7050.0,中間
5903,全家,7067.0,中間
6167,久正,7078.400000000001,中間
1444,力麗,7088.64,中間
2704,國賓,7095.0,中間
6532,瑞耘,7100.400000000001,中間
2461,光群雷,7123.0,中間
3434,哲固,7152.9,中間
1531,高林股,7206.400000000001,中間
2743,山富,7244.6,中間
4580,捷流閥業,7280.2,中間
3518,柏騰,7293.0,中間
2505,國揚,7343.099999999999,中間
3178,公準,7365.599999999999,中間
4737,華廣,7392.0,中間
2611,志信,7393.2,中間
6023,元大期,7394.4,中間
4555,氣立,7400.0,中間
1464,得力,7413.7,中間
6690,安碁資訊,7414.0,中間
5490,同亨,7425.0,中間
1232,大統益,7446.0,中間
6419,京晨科,7449.599999999999,中間
3083,網龍,7503.099999999999,中間
6796,晉弘,7530.999999999999,中間
2415,錩新,7644.0,中間
2063,世鎧,7686.45,中間
8049,晶采,7711.75,中間
8279,生展,7719.0,中間
1512,瑞利,7762.86,中間
2643,捷迅,7776.0,中間
6614,資拓宏宇,7792.4,中間
9924,福興,7796.5,中間
8047,星雲,7824.0,中間
3303,岱稜,7832.3,中間
2705,六福,7846.65,中間
6523,達爾膚,7872.5,中間
1615,大山,7897.049999999999,中間
5410,國眾,7928.450000000001,中間
4417,金洲,7949.599999999999,中間
6115,鎰勝,7954.8,中間
3611,鼎翰,7960.0,中間
6570,維田,8124.200000000001,中間
8089,康全電訊,8128.2,中間
9930,中聯資源,8199.5,中間
5512,力麒,8208.0,中間
5310,天剛,8245.8,中間
1225,福懋油,8263.6,中間
2069,運錩,8287.5,中間
2514,龍邦,8302.2,中間
8071,能率網通,8334.0,中間
6423,億而得-創,8349.6,中間
6967,汎瑋材料,8377.199999999999,中間
6914,阜爾運通,8381.0,中間
3432,台端,8527.75,中間
2020,美亞,8568.0,中間
2038,海光,8580.65,中間
5272,笙科,8602.8,中間
1580,新麥,8612.5,中間
6835,圓裕,8628.400000000001,中間
4951,精拓科,8632.800000000001,中間
6916,華凌,8698.199999999999,中間
6741,91APP*-KY,8724.099999999999,中間
5438,東友,8724.9,中間
9940,信義,8820.0,中間
6910,德鴻,8863.8,中間
1709,和益,8875.199999999999,中間
1583,程泰,8991.6,中間
8040,九暘,8997.6,中間
3631,晟楠,9065.4,中間
1760,寶齡富錦,9094.5,中間
6220,岳豐,9100.199999999999,中間
2017,官田鋼,9136.14,中間
2488,漢平,9180.900000000001,中間
1432,大魯閣,9183.9,中間
1762,中化生,9246.3,中間
3492,長盛,9321.8,中間
6130,上亞科技,9340.800000000001,中間
7556,意德士,9405.0,中間
2423,固緯,9405.0,中間
3528,安馳,9424.8,中間
3071,協禧,9462.199999999999,中間
5209,新鼎,9531.0,中間
3057,喬鼎,9534.2,中間
1339,昭輝,9593.1,中間
1455,集盛,9630.32,中間
2534,宏盛,9662.800000000001,中間
9925,新保,9669.599999999999,中間
3511,矽瑪,9723.25,中間
5511,德昌,9730.0,中間
2608,嘉里大榮,9735.0,中間
3556,禾瑞亞,9765.300000000001,中間
3684,榮昌,9768.199999999999,中間
3438,類比科,9810.2,中間
1217,愛之味,9826.199999999999,中間
2762,世界健身-KY,9900.0,中間
5468,凱鈺,10015.25,中間
6283,淳安,10049.7,中間
4771,望隼,10060.5,中間
6689,伊雲谷,10214.4,中間
2107,厚生,10283.699999999999,中間
6863,永道-KY,10285.0,中間
8072,陞泰,10333.2,中間
2102,泰豐,10368.0,中間
5283,禾聯碩,10380.0,中間
1471,首利,10383.45,中間
5201,凱衛,10531.5,中間
5213,亞昕,10613.3,中間
9919,康那香,10627.199999999999,中間
4556,旭然,10704.199999999999,中間
2477,美隆電,10748.400000000001,中間
2254,巨鎧精密-創,10805.7,中間
1806,冠軍,10813.25,中間
3176,基亞,10823.2,中間
1201,味全,10833.199999999999,中間
6129,普誠,10924.2,中間
3564,其陽,10980.0,中間
4952,凌通,11058.0,中間
1104,環泥,11101.75,中間
1734,杏輝,11216.699999999999,中間
2025,千興,11312.0,中間
5285,界霖,11330.0,中間
3272,東碩,11336.85,中間
6174,安碁,11427.099999999999,中間
6509,聚和,11473.75,中間
4560,強信-KY,11551.9,中間
3669,圓展,11598.300000000001,中間
3594,磐儀,11627.949999999999,中間
8048,德勝,11641.199999999999,中間
6243,迅杰,11664.0,中間
3230,錦明,11682.0,中間
2601,益航,11685.630000000001,中間
6465,威潤,11758.800000000001,中間
3226,龍鋒,11772.0,中間
8933,愛地雅,11808.16,中間
2250,IKKA-KY,11824.8,中間
9937,全國,11855.199999999999,中間
6658,聯策,11897.6,中間
3349,寶德,12000.0,中間
2022,聚亨,12000.300000000001,中間
3555,博士旺,12026.0,中間
1783,和康生,12036.0,中間
8446,華研,12134.4,中間
1732,毛寶,12182.5,中間
3705,永信,12204.9,中間
3094,聯傑,12214.5,中間
3205,佰研,12238.5,中間
6922,宸曜,12285.0,中間
3052,夆典,12296.699999999999,中間
9927,泰銘,12298.0,中間
6142,友勁,12311.4,中間
5457,宣德,12324.0,中間
5905,南仁湖,12366.960000000001,中間
3306,鼎天,12437.550000000001,中間
4987,科誠,12454.2,中間
4557,永新-KY,12465.6,中間
1591,駿吉-KY,12475.0,中間
5203,訊連,12481.800000000001,中間
