股票代號,股票名稱,成交金額(元),成交金額_分類
2073,雄順,0.0,稀少
6103,合邦,0.0,稀少
8077,洛碁,0.0,稀少
1470,大統新創,0.0,稀少
2321,東訊,16.95,稀少
4413,飛寶企業,18.45,稀少
8923,時報,19.5,稀少
6236,中湛,24.4,稀少
5205,中茂,31.95,稀少
5348,正能量智能,33.4,稀少
8488,吉源-KY,39.84,稀少
4584,君帆,46.55,稀少
4419,皇家美食,49.95,稀少
9110,越南控-DR,52.53,稀少
6856,鑫傳,54.8,稀少
3067,全域,54.900000000000006,稀少
2035,唐榮,56.8,稀少
4154,樂威科-KY,62.6,稀少
9929,秋雨,74.2,稀少
2924,宏太-KY,79.0,稀少
5514,三豐,79.0,稀少
2887Z1,台新新光己特,82.25,稀少
2941,米斯特,87.6,稀少
5703,亞都,88.19999999999999,稀少
6225,天瀚,88.75,稀少
3064,泰偉,91.9,稀少
911608,明輝-DR,95.2,稀少
4198,欣大健康,96.0,稀少
2901,欣欣,99.0,稀少
6581,鋼聯,107.0,稀少
8921,沈氏,108.60000000000001,稀少
1213,大飲,109.89,稀少
4609,唐鋒,110.88000000000001,稀少
6144,得利影,111.60000000000001,稀少
6240,松崗,111.89999999999999,稀少
3115,富榮綱,116.05000000000001,稀少
4905,台聯電,121.8,稀少
6904,伯鑫,124.0,稀少
5301,寶得利,124.85,稀少
4305,世坤,125.39999999999999,稀少
5016,松和,127.0,稀少
911622,泰聚亨-DR,148.98,稀少
3531,先益,152.6,稀少
8101,華冠,160.0,稀少
5345,馥鴻,171.15,稀少
4806,桂田文創,190.0,稀少
4139,馬光-KY,194.4,稀少
2724,藝舍-KY,198.0,稀少
1418,東華,198.5,稀少
1435,中福,198.9,稀少
7716,昱臺國際,205.6,稀少
2910,統領,207.0,稀少
5878,台名,209.0,稀少
3285,微端,225.2,稀少
3632,研勤,228.95999999999998,稀少
2911,麗嬰房,232.65,稀少
7732,金興精密,233.70000000000002,稀少
4706,大恭,236.0,稀少
6929,佑全,241.6,稀少
5601,台聯櫃,252.0,稀少
8342,益張,254.70000000000002,稀少
3523,迎輝,254.79999999999998,稀少
6574,霈方,264.0,稀少
1423,利華,266.34999999999997,稀少
4192,杏國,266.75,稀少
6222,立軒,267.40000000000003,稀少
2948,寶陞,268.09999999999997,稀少
4807,日成-KY,269.25,稀少
5276,達輝-KY,271.15,稀少
6212,理銘,276.15000000000003,稀少
6556,勝品,280.0,稀少
2235,謚源,282.8,稀少
4767,誠泰科技,287.1,稀少
8917,欣泰,287.5,稀少
3288,點晶,288.15,稀少
6020,大展證,291.0,稀少
4432,銘旺實,305.09999999999997,稀少
6899,創為精密,319.79999999999995,稀少
