股票代號,股票名稱,成交金額(元),成交金額_分類
2008,高興昌,929.6,偏下
5548,安倉,940.0,偏下
6874,倍力,940.8000000000001,偏下
2736,富野,942.5,偏下
6508,惠光,948.0,偏下
9931,欣高,952.0,偏下
4558,寶緯,969.9999999999999,偏下
6754,匯僑設計,978.6,偏下
9950,萬國通,979.8000000000001,偏下
6692,進能服,983.9999999999999,偏下
6464,台數科,993.2,偏下
1776,展宇,1004.8,偏下
6884,海柏特,1009.8,偏下
5211,蒙恬,1012.6999999999999,偏下
8087,麗升能源,1012.8,偏下
1456,怡華,1023.05,偏下
5450,南良,1043.9,偏下
5220,萬達光電,1056.1,偏下
7713,威力德生醫,1069.5,偏下
1240,茂生農經,1080.0,偏下
3467,台灣精材,1090.0,偏下
6680,鑫創電子,1097.6,偏下
2849,安泰銀,1108.05,偏下
5538,東明-KY,1115.1999999999998,偏下
4502,健信,1117.8,偏下
5546,永固-KY,1127.0,偏下
5355,佳總,1139.8,偏下
1726,永記,1140.0,偏下
6804,明係,1144.0,偏下
6101,寬魚國際,1145.45,偏下
6195,詩肯,1147.5,偏下
3646,艾恩特,1149.75,偏下
1463,強盛新,1186.6,偏下
7584,樂意,1191.0,偏下
8092,建暐,1193.1000000000001,偏下
8421,旭源,1199.7,偏下
6762,達亞,1204.0,偏下
8426,紅木-KY,1208.3,偏下
4538,大詠城,1239.0,偏下
8482,商億-KY,1240.0,偏下
3168,眾福科,1242.0,偏下
3489,森寶,1277.35,偏下
5015,華祺,1280.25,偏下
4530,宏易,1292.15,偏下
3118,進階,1294.8000000000002,偏下
6771,平和環保-創,1299.1999999999998,偏下
2923,鼎固-KY,1302.4,偏下
6246,臺龍,1314.3500000000001,偏下
1742,台蠟,1314.6000000000001,偏下
2701,萬企,1314.95,偏下
4102,永日,1319.5,偏下
6655,科定,1320.0,偏下
2712,遠雄來,1320.9,偏下
5007,三星,1324.8000000000002,偏下
2702,華園,1326.4499999999998,偏下
8931,大汽電,1357.5,偏下
3268,海德威,1362.75,偏下
6114,久威,1375.0,偏下
4735,豪展,1377.6000000000001,偏下
2067,嘉鋼,1383.2,偏下
2496,卓越,1386.0,偏下
5212,凌網,1388.3999999999999,偏下
1439,雋揚,1391.5,偏下
8940,新天地,1396.95,偏下
4207,環泰,1402.5,偏下
3266,昇陽,1403.9,偏下
8272,全景軟體,1420.2,偏下
6201,亞弘電,1427.3999999999999,偏下
6629,泰金-KY,1440.0,偏下
4702,中美實,1445.65,偏下
3171,炎洲流通,1446.0,偏下
6671,三能-KY,1454.3999999999999,偏下
4426,利勤,1469.93,偏下
5529,鉅陞,1471.6000000000001,偏下
1730,花仙子,1475.6000000000001,偏下
7767,仁大資訊,1475.6000000000001,偏下
2616,山隆,1476.6000000000001,偏下
8162,微矽電子-創,1507.8,偏下
1452,宏益,1509.3,偏下
6154,順發,1517.6000000000001,偏下
1236,宏亞,1522.1000000000001,偏下
8472,夠麻吉,1529.5,偏下
6865,偉康科技,1529.6,偏下
9928,中視,1533.0,偏下
1516,川飛,1537.1499999999999,偏下
6855,數泓科,1547.0,偏下
4999,鑫禾,1548.8,偏下
6846,綠茵,1551.9,偏下
3054,立萬利,1557.3999999999999,偏下
2061,風青,1578.1000000000001,偏下
6169,昱泉,1585.3000000000002,偏下
5206,坤悅,1599.0,偏下
6276,安鈦克,1600.2,偏下
8367,建新國際,1602.1,偏下
6881,潤德,1613.5,偏下
4568,科際精密,1618.8,偏下
4190,佐登-KY,1630.8,偏下
6597,立誠,1632.0,偏下
4550,長佳,1634.8,偏下
2430,燦坤,1641.6000000000001,偏下
6952,大武山,1667.25,偏下
4527,方土霖,1668.7,偏下
3224,三顧,1677.6000000000001,偏下
3664,安瑞-KY,1680.1,偏下
8906,花王,1694.0,偏下
2506,太設,1703.2800000000002,偏下
5464,霖宏,1721.8999999999999,偏下
7770,君曜,1728.0,偏下
8437,大地-KY,1731.6,偏下
4138,曜亞,1742.9,偏下
2109,華豐,1745.8000000000002,偏下
8176,智捷,1747.8999999999999,偏下
4754,國碳科,1748.25,偏下
6955,邦睿生技-創,1749.0,偏下
8444,綠河-KY,1750.55,偏下
6590,普鴻,1754.3999999999999,偏下
1323,永裕,1757.8,偏下
5704,老爺知,1768.0,偏下
7709,榮田,1773.1999999999998,偏下
4116,明基醫,1774.0,偏下
1235,興泰,1783.5,偏下
1294,漢田生技,1805.5,偏下
8429,金麗-KY,1818.79,偏下
6924,榮惠-KY創,1820.0,偏下
9960,邁達康,1821.3000000000002,偏下
4188,安克,1827.1,偏下
3512,皇龍,1836.1000000000001,偏下
4745,合富-KY,1855.0500000000002,偏下
5489,彩富,1856.25,偏下
2033,佳大,1858.2,偏下
2908,特力,1863.0,偏下
4440,宜新實業,1888.55,偏下
912000,晨訊科-DR,1902.8000000000002,偏下
6902,GOGOLOOK,1922.5000000000002,偏下
1337,再生-KY,1926.6599999999999,偏下
6482,弘煜科,1930.0,偏下
4911,德英,1936.4,偏下
5902,德記,1936.4,偏下
5344,立衛,1939.2,偏下
6577,勁豐,1962.9,偏下
1817,凱撒衛,1963.5,偏下
4569,六方科-KY,1989.0,偏下
5223,安力-KY,2009.0,偏下
1340,勝悅-KY,2030.0,偏下
1467,南緯,2035.62,偏下
4121,優盛,2045.25,偏下
4155,訊映,2049.2999999999997,偏下
2706,第一店,2051.1,偏下
8201,無敵,2051.75,偏下
1525,江申,2055.9,偏下
8905,裕國,2067.2,偏下
1459,聯發,2068.0,偏下
1417,嘉裕,2103.2000000000003,偏下
3093,港建*,2104.05,偏下
3150,鈺寶-創,2129.2999999999997,偏下
4554,橙的,2135.6,偏下
6578,達邦蛋白,2136.4,偏下
6516,勤崴國際,2158.2000000000003,偏下
7747,昕奇雲端,2178.0,偏下
1460,宏遠,2180.1,偏下
6968,萬達寵物,2197.6,偏下
6294,智基,2220.0,偏下
4120,友華,2232.5,偏下
2929,淘帝-KY,2259.98,偏下
6971,惠民實業,2260.7000000000003,偏下
2718,全心投控,2261.8,偏下
6708,天擎,2262.0,偏下
6697,東捷資訊,2263.0499999999997,偏下
6666,羅麗芬-KY,2272.0499999999997,偏下
1445,大宇,2272.4,偏下
6936,永鴻生技,2288.0,偏下
2424,隴華,2323.75,偏下
4439,冠星-KY,2346.0,偏下
8930,青鋼,2349.5,偏下
1474,弘裕,2360.8,偏下
8401,白紗科,2372.0,偏下
5516,雙喜,2375.4,偏下
2734,易飛網,2390.75,偏下
6208,日揚,2413.8,偏下
1466,聚隆,2427.6,偏下
8487,愛爾達-創,2430.0,偏下
5488,松普,2430.4,偏下
2729,瓦城,2443.0,偏下
3158,嘉實,2457.0,偏下
4433,興采,2464.5,偏下
8450,霹靂,2482.0,偏下
3164,景岳,2490.9,偏下
6494,九齊,2518.5,偏下
1109,信大,2519.1,偏下
4747,強生,2541.0,偏下
5533,皇鼎,2545.4,偏下
1457,宜進,2557.5,偏下
5364,力麗店,2575.2000000000003,偏下
7791,皇家可口,2577.6,偏下
4995,晶達,2597.7999999999997,偏下
1737,臺鹽,2599.4,偏下
4741,泓瀚,2649.1,偏下
9962,有益,2655.8999999999996,偏下
8102,傑霖科技,2658.7999999999997,偏下
8024,佑華,2659.2,偏下
6185,幃翔,2663.85,偏下
1473,台南,2686.2,偏下
1593,祺驊,2688.2999999999997,偏下
7723,築間,2689.95,偏下
6183,關貿,2696.4,偏下
3652,精聯,2697.0,偏下
7730,暉盛-創,2704.0,偏下
2114,鑫永銓,2706.0,偏下
6921,嘉雨思-創,2707.2,偏下
3206,志豐,2715.75,偏下
4416,三圓,2744.7999999999997,偏下
2596,綠意,2745.0,偏下
1558,伸興,2754.0,偏下
1731,美吾華,2781.2999999999997,偏下
5324,士開,2805.75,偏下
6194,育富,2810.7000000000003,偏下
7708,全家餐飲,2838.0,偏下
2642,宅配通,2843.5,偏下
3521,鴻翊,2854.2,偏下
8097,常珵,2865.0,偏下
9905,大華,2867.15,偏下
8466,美吉吉-KY,2867.7,偏下
2732,六角,2877.0,偏下
8481,政伸,2896.8,偏下
4108,懷特,2898.0,偏下
3710,連展投控,2920.05,偏下
4907,富宇,2934.6,偏下
8432,東生華,2941.5,偏下
1336,台翰,2950.3,偏下
7705,三商餐飲,2962.5,偏下
4581,光隆精密-KY,2968.0,偏下
5525,順天,2973.6,偏下
6241,易通展,2979.2000000000003,偏下
3373,熱映,2983.95,偏下
3541,西柏,3026.7,偏下
6969,成信實業*-創,3035.7999999999997,偏下
6582,申豐,3040.0,偏下
3419,譁裕,3052.8,偏下
5487,通泰,3055.5,偏下
4711,永純,3062.3999999999996,偏下
3666,光耀,3068.0,偏下
4126,太醫,3096.9,偏下
4930,燦星網,3111.9,偏下
7631,聚賢研發-創,3112.5,偏下
6109,亞元,3124.5499999999997,偏下
4205,中華食,3139.5,偏下
2945,三商家購,3140.25,偏下
8435,鉅邁,3155.2,偏下
5603,陸海,3170.4999999999995,偏下
5215,科嘉-KY,3171.0,偏下
1338,廣華-KY,3180.0,偏下
3716,中化控股,3191.3,偏下
6982,大井泵浦,3195.0,偏下
2007,燁興,3206.88,偏下
1805,寶徠,3228.0,偏下
2012,春雨,3237.5,偏下
6569,醫揚,3255.0,偏下
6123,上奇,3255.35,偏下
6198,瑞築,3259.5,偏下
6108,競國,3265.8500000000004,偏下
3494,誠研,3295.95,偏下
6716,應廣,3314.5,偏下
6593,台灣銘板,3314.7000000000003,偏下
4935,茂林-KY,3320.0,偏下
1535,中宇,3323.2000000000003,偏下
6637,醫影,3343.2,偏下
9949,琉園,3345.3,偏下
4127,天良,3379.95,偏下
2438,翔耀,3397.2000000000003,偏下
2538,基泰,3400.8,偏下
2906,高林,3413.6000000000004,偏下
3520,華盈,3449.8500000000004,偏下
6906,現觀科,3454.0,偏下
2459,敦吉,3457.7999999999997,偏下
6821,聯寶,3459.2,偏下
1796,金穎生技,3484.6,偏下
8928,鉅明,3497.9,偏下
4442,竣邦-KY,3498.0,偏下
3066,李洲,3501.1,偏下
6292,迅德,3523.8,偏下
6259,百徽,3532.25,偏下
2916,滿心,3545.4,偏下
2029,盛餘,3553.2,偏下
2752,豆府,3561.5,偏下
3085,新零售,3568.5,偏下
6504,南六,3573.2999999999997,偏下
6598,ABC-KY,3601.5,偏下
4438,廣越,3654.9999999999995,偏下
4109,加捷生醫,3660.0,偏下
5543,桓鼎-KY,3661.2,偏下
5210,寶碩,3670.8,偏下
6248,沛波,3676.25,偏下
5523,豐謙,3684.4,偏下
