股票代號,股票名稱,成交金額(元),成交金額_分類
1449,佳和,19889.600000000002,熱門
6642,富致,19965.0,熱門
2897,王道銀行,20237.28,熱門
1220,台榮,20331.9,熱門
2527,宏璟,20358.25,熱門
8284,三竹,20383.5,熱門
6530,創威,20403.6,熱門
1617,榮星,20408.5,熱門
4976,佳凌,20696.8,熱門
6823,濾能,20727.6,熱門
1342,八貫,20758.0,熱門
3038,全台,20793.149999999998,熱門
3686,達能,20809.8,熱門
3490,單井,20826.0,熱門
6838,台新藥,20845.2,熱門
8289,泰藝,20915.2,熱門
3321,同泰,20919.800000000003,熱門
2444,兆勁,20923.8,熱門
2836,高雄銀,20969.3,熱門
5227,立凱-KY,21000.45,熱門
5607,遠雄港,21173.7,熱門
6585,鼎基,21338.0,熱門
1440,南紡,21385.699999999997,熱門
1907,永豐餘,21536.6,熱門
3609,三一東林,21560.0,熱門
2462,良得電,21638.1,熱門
1436,華友聯,21771.0,熱門
6230,尼得科超眾,21805.0,熱門
3685,元創精密,21836.4,熱門
2427,三商電,21869.699999999997,熱門
6525,捷敏-KY,22017.399999999998,熱門
6894,衛司特,22019.0,熱門
5258,虹堡,22428.899999999998,熱門
2023,燁輝,22466.4,熱門
6715,嘉基,22470.0,熱門
6272,驊陞,22496.75,熱門
6233,旺玖,22505.449999999997,熱門
1710,東聯,22542.0,熱門
2015,豐興,22598.4,熱門
5706,鳳凰,22648.100000000002,熱門
2420,新巨,22732.5,熱門
6203,海韻電,23017.1,熱門
7736,虎山,23184.0,熱門
2070,精湛,23246.399999999998,熱門
8467,波力-KY,23436.0,熱門
6913,鴻呈,23500.0,熱門
5245,智晶,23504.25,熱門
6803,崑鼎,23562.0,熱門
6151,晉倫,23563.8,熱門
3379,彬台,23730.300000000003,熱門
3466,德晉,23736.699999999997,熱門
6996,力領科技,23814.0,熱門
2530,華建,23843.05,熱門
3011,今皓,23938.100000000002,熱門
6416,瑞祺電通,24067.2,熱門
2617,台航,24264.9,熱門
1325,恆大,24285.8,熱門
6695,芯鼎,24297.0,熱門
6870,騰雲,24300.0,熱門
2528,皇普,24308.699999999997,熱門
1904,正隆,24448.05,熱門
6461,益得,24717.0,熱門
7712,博盛半導體,24720.0,熱門
5288,豐祥-KY,24727.5,熱門
3050,鈺德,24921.649999999998,熱門
2636,台驊控股,24957.4,熱門
2031,新光鋼,25065.95,熱門
3003,健和興,25186.0,熱門
1611,中電,25337.7,熱門
1310,台苯,25500.160000000003,熱門
3628,盈正,25517.7,熱門
8415,大國鋼,25519.199999999997,熱門
2030,彰源,25698.8,熱門
2387,精元,25758.0,熱門
6761,穩得,25774.0,熱門
6113,亞矽,25812.0,熱門
6576,逸達,25840.0,熱門
6693,廣閎科,25989.100000000002,熱門
6928,攸泰科技,26029.5,熱門
8085,福華,26171.1,熱門
8927,北基,26186.550000000003,熱門
2362,藍天,26273.7,熱門
3339,泰谷,26287.8,熱門
4714,永捷,26349.5,熱門
6875,國邑*,26433.0,熱門
4588,玖鼎電力,26627.1,熱門
8462,柏文,26727.0,熱門
9942,茂順,26768.0,熱門
3546,宇峻,26828.0,熱門
8438,昶昕,26835.600000000002,熱門
6558,興能高,26864.25,熱門
1308,亞聚,26880.0,熱門
8107,大億金茂,26912.100000000002,熱門
2539,櫻花建,27060.3,熱門
3588,通嘉,27090.0,熱門
6226,光鼎,27135.000000000004,熱門
6957,裕慶-KY,27170.0,熱門
6425,易發,27206.4,熱門
4129,聯合,27328.0,熱門
3219,倚強科,27348.2,熱門
6732,昇佳電子,27512.5,熱門
8083,瑞穎,27722.0,熱門
6918,愛派司,28141.699999999997,熱門
2614,東森,28250.4,熱門
4720,德淵,28461.6,熱門
1526,日馳,28543.95,熱門
1586,和勤,28655.6,熱門
8034,榮群,28883.399999999998,熱門
1786,科妍,29039.0,熱門
6477,安集,29097.9,熱門
3218,大學光,29100.0,熱門
1784,訊聯,29103.0,熱門
4104,佳醫,29234.8,熱門
4736,泰博,29241.5,熱門
8109,博大,29260.0,熱門
5302,太欣,29298.600000000002,熱門
3390,旭軟,29350.05,熱門
2640,大車隊,29440.0,熱門
3479,安勤,29449.300000000003,熱門
6486,互動,29715.000000000004,熱門
2537,聯上發,29739.85,熱門
6785,昱展新藥,29904.0,熱門
1506,正道,29988.0,熱門
5306,桂盟,30241.8,熱門
6925,意藍,30350.6,熱門
1563,巧新,30384.0,熱門
1723,中碳,30429.999999999996,熱門
2607,榮運,30643.2,熱門
2348,海悅,30693.0,熱門
2453,凌群,30857.8,熱門
1712,興農,30916.8,熱門
2108,南帝,30996.0,熱門
6841,長佳智能,31070.800000000003,熱門
1227,佳格,31099.2,熱門
5534,長虹,31108.0,熱門
1532,勤美,31484.7,熱門
1909,榮成,31826.25,熱門
1442,名軒,31913.100000000002,熱門
1616,億泰,31944.8,熱門
4721,美琪瑪,31992.300000000003,熱門
6117,迎廣,32197.5,熱門
1231,聯華食,32216.4,熱門
6021,美好證,32279.25,熱門
1307,三芳,32964.0,熱門
5225,東科-KY,33015.0,熱門
3257,虹冠電,33098.0,熱門
2426,鼎元,33140.100000000006,熱門
4174,浩鼎,33196.8,熱門
3504,揚明光,33448.0,熱門
4114,健喬,33452.100000000006,熱門
8938,明安,33614.4,熱門
4130,健亞,33779.55,熱門
2230,泰茂,33900.0,熱門
1515,力山,33901.0,熱門
1410,南染,34273.2,熱門
6799,來頡,34387.5,熱門
6829,千附精密,34579.0,熱門
6588,東典光電,34798.5,熱門
6782,視陽,34888.0,熱門
6541,泰福-KY,35100.0,熱門
8044,網家,35124.75,熱門
6861,睿生光電,35156.799999999996,熱門
3056,富華新,35275.5,熱門
3444,利機,35334.0,熱門
3530,晶相光,35449.200000000004,熱門
3213,茂訊,35672.0,熱門
2850,新產,35802.0,熱門
6261,久元,35956.0,熱門
6591,動力-KY,36254.4,熱門
6550,北極星藥業-KY,36633.149999999994,熱門
6811,宏碁資訊,36846.0,熱門
2010,春源,36868.75,熱門
6270,倍微,36920.0,熱門
2241,艾姆勒,37374.6,熱門
3032,偉訓,37376.0,熱門
1419,新紡,37750.0,熱門
7744,崴寶,37848.0,熱門
1708,東鹼,37862.1,熱門
6112,邁達特,37936.799999999996,熱門
5228,鈺鎧,38137.75,熱門
2723,美食-KY,38227.8,熱門
4912,聯德控股-KY,38387.3,熱門
1584,精剛,38519.25,熱門
3630,新鉅科,38625.6,熱門
2417,圓剛,38640.0,熱門
4128,中天,39056.100000000006,熱門
2535,達欣工,39067.6,熱門
2115,六暉-KY,39643.45,熱門
4960,誠美材,39775.65,熱門
6204,艾華,39949.0,熱門
6189,豐藝,40031.25,熱門
6186,新潤,40154.700000000004,熱門
2465,麗臺,40179.2,熱門
6417,韋僑,40252.0,熱門
3416,融程電,40256.0,熱門
2034,允強,40295.2,熱門
3498,陽程,40324.5,熱門
6405,悅城,40335.350000000006,熱門
2258,鴻華先進-創,40521.0,熱門
6698,旭暉應材,40623.5,熱門
3055,蔚華科,40737.0,熱門
5474,聰泰,41000.0,熱門
3234,光環,41162.5,熱門
6166,凌華,41210.0,熱門
4523,永彰,41624.25,熱門
6625,必應,41745.200000000004,熱門
2501,國建,41815.200000000004,熱門
6015,宏遠證,41828.5,熱門
6026,福邦證,42180.5,熱門
6596,寬宏藝術,42280.0,熱門
3141,晶宏,42283.8,熱門
3567,逸昌,42534.45,熱門
6170,統振,42650.0,熱門
8011,台通,42750.0,熱門
1603,華電,42772.799999999996,熱門
1313,聯成,42774.25,熱門
2247,汎德永業,43134.0,熱門
6589,台康生技,43292.8,熱門
3323,加百裕,43465.799999999996,熱門
2497,怡利電,43656.0,熱門
2851,中再保,43703.0,熱門
3228,金麗科,43982.5,熱門
4755,三福化,44415.0,熱門
1903,士紙,44423.8,熱門
4164,承業醫,44525.200000000004,熱門
6720,久昌,44892.0,熱門
7786,東方風能,45080.0,熱門
8215,明基材,45193.0,熱門
3338,泰碩,45253.200000000004,熱門
2101,南港,45399.0,熱門
6179,亞通,45433.950000000004,熱門
3041,揚智,45541.7,熱門
5522,遠雄,45761.0,熱門
6180,橘子,45878.4,熱門
7740,熙特爾-創,46003.0,熱門
5608,四維航,46278.0,熱門
2520,冠德,46303.200000000004,熱門
7805,威聯通,46350.0,熱門
1718,中纖,46675.06,熱門
6150,撼訊,46696.200000000004,熱門
7788,松川精密,46710.0,熱門
4566,時碩工業,46715.200000000004,熱門
3356,奇偶,46800.0,熱門
8163,達方,46956.0,熱門
3617,碩天,46970.0,熱門
3092,鴻碩,47197.5,熱門
8222,寶一,47240.299999999996,熱門
5426,振發,47251.2,熱門
2429,銘旺科,47477.7,熱門
4746,台耀,47600.799999999996,熱門
5432,新門,47815.0,熱門
6146,耕興,47988.0,熱門
8171,天宇,48014.799999999996,熱門
5478,智冠,48048.0,熱門
5291,邑昇,48248.0,熱門
6613,朋億*,48521.0,熱門
6199,天品,48590.0,熱門
3128,昇銳,48618.9,熱門
6895,宏碩系統,48928.0,熱門
1569,濱川,49203.6,熱門
6426,統新,49284.7,熱門
3537,堡達,49302.799999999996,熱門
6568,宏觀,49361.5,熱門
